Date,Open,High,Low,Close,Volume
"Friday, September 09, 1994","1,578.98","1,578.98","1,578.98","1,578.98",0
"Thursday, September 08, 1994","1,596.07","1,596.07","1,596.07","1,596.07",0
"Wednesday, September 07, 1994","1,606.38","1,606.38","1,606.38","1,606.38",0
"Tuesday, September 06, 1994","1,607.26","1,607.26","1,607.26","1,607.26",0
"Monday, September 05, 1994","1,620.76","1,620.76","1,620.76","1,620.76",0
"Friday, September 02, 1994","1,613.37","1,613.37","1,613.37","1,613.37",0
"Thursday, September 01, 1994","1,612.27","1,612.27","1,612.27","1,612.27",0
"Wednesday, August 31, 1994","1,626.64","1,626.64","1,626.64","1,626.64",0
"Tuesday, August 30, 1994","1,625.57","1,625.57","1,625.57","1,625.57",0
"Friday, August 26, 1994","1,630.33","1,630.33","1,630.33","1,630.33",0
"Thursday, August 25, 1994","1,617.45","1,617.45","1,617.45","1,617.45",0
"Wednesday, August 24, 1994","1,604.14","1,604.14","1,604.14","1,604.14",0
"Tuesday, August 23, 1994","1,592.41","1,592.41","1,592.41","1,592.41",0
"Monday, August 22, 1994","1,590.67","1,590.67","1,590.67","1,590.67",0
"Friday, August 19, 1994","1,598.16","1,598.16","1,598.16","1,598.16",0
"Thursday, August 18, 1994","1,593.74","1,593.74","1,593.74","1,593.74",0
"Wednesday, August 17, 1994","1,596.52","1,596.52","1,596.52","1,596.52",0
"Tuesday, August 16, 1994","1,578.30","1,578.30","1,578.30","1,578.30",0
"Monday, August 15, 1994","1,576.94","1,576.94","1,576.94","1,576.94",0
"Friday, August 12, 1994","1,577.78","1,577.78","1,577.78","1,577.78",0
"Thursday, August 11, 1994","1,576.04","1,576.04","1,576.04","1,576.04",0
"Wednesday, August 10, 1994","1,585.28","1,585.28","1,585.28","1,585.28",0
"Tuesday, August 09, 1994","1,586.58","1,586.58","1,586.58","1,586.58",0
"Monday, August 08, 1994","1,587.71","1,587.71","1,587.71","1,587.71",0
"Friday, August 05, 1994","1,584.61","1,584.61","1,584.61","1,584.61",0
"Thursday, August 04, 1994","1,576.85","1,576.85","1,576.85","1,576.85",0
"Wednesday, August 03, 1994","1,579.21","1,579.21","1,579.21","1,579.21",0
"Tuesday, August 02, 1994","1,576.29","1,576.29","1,576.29","1,576.29",0
"Monday, August 01, 1994","1,551.22","1,551.22","1,551.22","1,551.22",0
"Friday, July 29, 1994","1,545.74","1,545.74","1,545.74","1,545.74",0
"Thursday, July 28, 1994","1,550.60","1,550.60","1,550.60","1,550.60",0
"Wednesday, July 27, 1994","1,544.66","1,544.66","1,544.66","1,544.66",0
"Tuesday, July 26, 1994","1,557.85","1,557.85","1,557.85","1,557.85",0
"Monday, July 25, 1994","1,552.07","1,552.07","1,552.07","1,552.07",0
"Friday, July 22, 1994","1,555.53","1,555.53","1,555.53","1,555.53",0
"Thursday, July 21, 1994","1,545.30","1,545.30","1,545.30","1,545.30",0
"Wednesday, July 20, 1994","1,537.38","1,537.38","1,537.38","1,537.38",0
"Tuesday, July 19, 1994","1,540.95","1,540.95","1,540.95","1,540.95",0
"Monday, July 18, 1994","1,536.11","1,536.11","1,536.11","1,536.11",0
"Friday, July 15, 1994","1,532.50","1,532.50","1,532.50","1,532.50",0
"Thursday, July 14, 1994","1,521.25","1,521.25","1,521.25","1,521.25",0
"Wednesday, July 13, 1994","1,501.43","1,501.43","1,501.43","1,501.43",0
"Tuesday, July 12, 1994","1,483.88","1,483.88","1,483.88","1,483.88",0
"Monday, July 11, 1994","1,491.78","1,491.78","1,491.78","1,491.78",0
"Friday, July 08, 1994","1,482.25","1,482.25","1,482.25","1,482.25",0
"Thursday, July 07, 1994","1,483.05","1,483.05","1,483.05","1,483.05",0
"Wednesday, July 06, 1994","1,475.19","1,475.19","1,475.19","1,475.19",0
"Tuesday, July 05, 1994","1,481.61","1,481.61","1,481.61","1,481.61",0
"Monday, July 04, 1994","1,483.03","1,483.03","1,483.03","1,483.03",0
"Friday, July 01, 1994","1,469.48","1,469.48","1,469.48","1,469.48",0
"Thursday, June 30, 1994","1,463.35","1,463.35","1,463.35","1,463.35",0
